# Arp Atlas of Peculiar Galaxies (Arp 1966)
# Source: VizieR catalog VII/192 (Webb 1996) — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/192
# Coordinates are J2000. size is the object diameter in arcminutes.
# canonical_id links to NGC/IC/Messier only for single-galaxy entries.
ra,dec,catalog,catalog_id,canonical_id,size
141.158333,49.356667,Arp,1,NGC_2857,5.20
244.075000,47.046667,Arp,2,Arp_2,3.50
339.141667,-2.905000,Arp,3,Arp_3,5.20
27.108333,-12.381667,Arp,4,Arp_4,3.50
171.104167,3.326667,Arp,5,NGC_3664,2.60
123.308333,45.991667,Arp,6,NGC_2537,2.60
132.570833,-16.576667,Arp,7,Arp_7,2.60
20.595833,-0.875000,Arp,8,NGC_497,3.50
123.745833,73.580000,Arp,9,NGC_2523,3.50
34.608333,5.653333,Arp,10,Arp_10,2.60
17.345833,14.336667,Arp,11,Arp_11,5.20
128.820833,28.473333,Arp,12,NGC_2608,3.50
345.008333,15.990000,Arp,13,NGC_7448,2.60
338.941667,-26.050000,Arp,14,NGC_7314,5.20
342.916667,-5.558333,Arp,15,NGC_7393,2.60
170.062500,12.988333,Arp,16,Messier_66,10.40
116.137500,73.830000,Arp,17,Arp_17,2.10
181.395833,50.541667,Arp,18,NGC_4088,5.20
7.937500,-5.153333,Arp,19,NGC_145,2.60
64.975000,2.095000,Arp,20,Arp_20,2.10
166.245833,30.026667,Arp,21,Arp_21,2.10
179.879167,-19.263333,Arp,22,Arp_22,10.40
190.383333,41.150000,Arp,23,NGC_4618,20.80
163.654167,56.990000,Arp,24,Arp_24,3.50
111.804167,85.755000,Arp,25,NGC_2276,5.20
210.804167,54.350000,Arp,26,Messier_101,32.40
170.258333,53.171667,Arp,27,NGC_3631,5.20
352.116667,22.421667,Arp,28,NGC_7678,2.60
308.716667,60.153333,Arp,29,NGC_6946,20.80
260.679167,62.173333,Arp,30,Arp_30,2.60
27.783333,21.913333,Arp,31,IC_167,3.50
258.283333,59.323333,Arp,32,Arp_32,2.10
204.350000,6.436667,Arp,33,Arp_33,3.50
190.404167,26.071667,Arp,34,NGC_4615,5.20
5.595833,-1.303333,Arp,35,Arp_35,5.20
203.562500,31.425000,Arp,36,Arp_36,2.60
40.670833,0.013333,Arp,37,Messier_77,3.50
262.400000,75.705000,Arp,38,NGC_6412,3.50
52.425000,-22.278333,Arp,39,NGC_1347,3.50
202.333333,37.408333,Arp,40,IC_4271,2.10
47.441667,-20.578333,Arp,41,Arp_41,10.40
225.675000,23.331667,Arp,42,Arp_42,3.50
156.066667,16.743333,Arp,43,IC_607,2.60
156.387500,-2.221667,Arp,44,IC_609,3.50
214.962500,51.905000,Arp,45,Arp_45,2.60
353.420833,30.043333,Arp,46,Arp_46,2.10
221.804167,18.858333,Arp,47,Arp_47,2.60
19.983333,12.345000,Arp,48,Arp_48,2.10
218.108333,8.080000,Arp,49,NGC_5665,2.60
359.491667,-14.030000,Arp,50,IC_1520,2.10
1.570833,-13.448333,Arp,51,Arp_51,2.10
79.933333,3.716667,Arp,52,Arp_52,2.10
158.820833,-17.275000,Arp,53,NGC_3290,2.60
36.008333,-4.693333,Arp,54,Arp_54,2.60
138.983333,44.331667,Arp,55,Arp_55,2.60
29.358333,17.216667,Arp,56,Arp_56,2.10
199.166667,14.436667,Arp,57,Arp_57,2.60
127.991667,19.213333,Arp,58,Arp_58,2.60
15.191667,-9.185000,Arp,59,Arp_59,2.60
198.695833,26.085000,Arp,60,Arp_60,2.10
69.175000,-2.286667,Arp,61,Arp_61,2.10
178.400000,43.455000,Arp,62,Arp_62,2.10
144.820833,32.310000,Arp,63,Arp_63,2.10
221.358333,19.465000,Arp,64,Arp_64,2.60
5.466667,22.400000,Arp,65,NGC_91,5.20
246.720833,51.555000,Arp,66,Arp_66,2.60
20.320833,-0.545000,Arp,67,Arp_67,2.60
357.187500,4.173333,Arp,68,NGC_7757,3.50
215.108333,35.188333,Arp,69,NGC_5579,2.60
20.866667,30.785000,Arp,70,Arp_70,2.60
241.283333,17.756667,Arp,71,NGC_6045,2.10
236.720833,17.871667,Arp,72,Arp_72,3.50
248.787500,46.213333,Arp,73,IC_1222,2.60
32.091667,41.480000,Arp,74,Arp_74,2.60
27.829167,-4.055000,Arp,75,NGC_702,3.50
189.208333,13.163333,Arp,76,Messier_90,10.40
41.579167,-30.275000,Arp,77,Arp_77,10.40
29.833333,19.006667,Arp,78,Arp_78,10.40
212.529167,17.615000,Arp,79,NGC_5490,2.10
132.029167,74.100000,Arp,80,NGC_2633,3.50
273.229167,68.363333,Arp,81,Arp_81,2.60
122.808333,25.206667,Arp,82,Arp_82,5.20
175.054167,15.343333,Arp,83,Arp_83,3.50
209.658333,37.425000,Arp,84,Arp_84,5.20
202.466667,47.198333,Arp,85,Arp_85,21.80
356.770833,29.483333,Arp,86,Arp_86,5.20
175.183333,22.428333,Arp,87,Arp_87,3.50
19.770833,12.478333,Arp,88,Arp_88,2.10
130.666667,14.285000,Arp,89,NGC_2648,5.20
231.533333,41.675000,Arp,90,Arp_90,2.60
233.633333,15.195000,Arp,91,Arp_91,2.60
349.733333,0.243333,Arp,92,NGC_7603,2.60
337.150000,-24.843333,Arp,93,Arp_93,5.20
155.862500,19.898333,Arp,94,Arp_94,10.40
218.758333,26.543333,Arp,95,Arp_95,2.60
105.754167,86.603333,Arp,96,Arp_96,3.50
