# Barnard Catalogue of 349 Dark Objects in the Sky (Barnard 1927)
# Source: VizieR catalog VII/220A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/220A
# Coordinates are ICRS (J2000), converted from the original B1875 positions.
# size is the object diameter in arcminutes (0 = not recorded).
ra,dec,catalog,catalog_id,size
53.239167,31.159167,Barnard,1,30.00
53.380417,32.324722,Barnard,2,20.00
55.007917,31.975556,Barnard,3,20.00
56.010000,31.798889,Barnard,4,0.00
56.971250,32.889444,Barnard,5,60.00
59.097500,56.120278,Barnard,6,0.00
64.354167,28.561944,Barnard,7,0.00
64.462083,55.246944,Barnard,8,0.00
64.737083,55.060556,Barnard,9,0.00
64.671667,28.275000,Barnard,10,8.00
66.655417,55.039722,Barnard,11,0.00
67.447500,54.247500,Barnard,12,24.00
67.825417,54.893333,Barnard,13,11.00
69.995833,25.748889,Barnard,14,3.00
67.983333,46.623611,Barnard,15,13.00
68.108333,46.605556,Barnard,16,0.00
68.127500,46.521944,Barnard,17,0.00
67.805417,24.356944,Barnard,18,60.00
68.416250,26.266944,Barnard,19,60.00
69.268750,50.976667,Barnard,20,60.00
69.490000,55.358333,Barnard,21,10.00
69.666250,26.052778,Barnard,22,120.00
70.139167,29.881111,Barnard,23,5.00
70.722083,29.741111,Barnard,24,8.00
73.017083,46.016389,Barnard,25,8.00
73.659167,30.624167,Barnard,26,5.00
73.783333,30.556111,Barnard,27,5.00
73.968333,30.637222,Barnard,28,4.00
76.597083,31.590000,Barnard,29,10.00
82.568750,12.767222,Barnard,30,67.00
83.006250,12.761944,Barnard,31,30.00
83.035417,12.428333,Barnard,32,0.00
85.220417,-2.465833,Barnard,33,4.00
85.877500,32.645833,Barnard,34,20.00
86.377500,9.054444,Barnard,35,15.00
87.440833,7.424722,Barnard,36,120.00
98.229167,10.477500,Barnard,37,175.00
98.423750,11.075278,Barnard,38,60.00
99.510000,10.328611,Barnard,39,0.00
243.661667,-18.968611,Barnard,40,15.00
245.573333,-19.631389,Barnard,41,45.00
246.373333,-23.439444,Barnard,42,0.00
247.579167,-19.775833,Barnard,43,0.00
250.140000,-24.080556,Barnard,44,0.00
251.187917,-40.336944,Barnard,44a,5.00
