# Collinder Catalogue of Open Clusters (Collinder 1931)
# Source: VizieR catalog B/ocl (Dias et al. 2002) — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=B/ocl
# Coordinates are ICRS (J2000). size is the angular diameter in arcminutes.
ra,dec,catalog,catalog_id,size
44.845833,60.566667,Cr,34,25.00
80.720833,41.080833,Cr,62,35.00
81.525000,16.700278,Cr,65,220.00
83.775000,9.933333,Cr,69,70.00
83.875000,-1.100000,Cr,70,140.00
87.166667,7.358333,Cr,74,6.00
94.500000,23.633333,Cr,89,60.00
95.425000,2.366667,Cr,91,13.00
95.725000,5.116667,Cr,92,11.00
97.712500,9.943611,Cr,95,27.00
97.575000,2.866667,Cr,96,12.00
97.825000,5.916667,Cr,97,25.00
99.125000,4.816667,Cr,104,20.00
99.275000,5.950000,Cr,106,35.00
99.425000,4.733333,Cr,107,29.00
99.600000,2.016667,Cr,110,18.00
99.675000,6.900000,Cr,111,3.00
101.625000,1.766667,Cr,115,10.00
104.083333,-24.729444,Cr,121,60.00
108.833333,-30.683333,Cr,132,80.00
109.320833,-36.816667,Cr,135,50.00
111.112500,-31.850000,Cr,140,60.00
120.704167,-46.383333,Cr,173,370.00
125.837500,-36.333333,Cr,185,10.00
126.054167,-29.166667,Cr,187,5.00
131.250000,-31.633333,Cr,196,3.00
131.212500,-41.233333,Cr,197,25.00
131.325000,-31.766667,Cr,198,5.00
135.133333,-48.983333,Cr,205,5.00
148.679167,-50.916667,Cr,213,17.00
156.466667,-57.926667,Cr,220,9.50
158.066667,-60.020000,Cr,223,18.00
161.000000,-60.086667,Cr,228,14.00
161.162500,-59.560000,Cr,232,4.00
164.212500,-61.116667,Cr,236,10.00
167.916667,-60.309722,Cr,240,32.00
186.191667,-60.886667,Cr,257,5.00
189.487500,-68.366667,Cr,261,9.00
199.554167,-67.083333,Cr,268,5.00
200.879167,-66.183333,Cr,269,15.00
202.475000,-64.200000,Cr,271,5.00
202.608333,-61.316667,Cr,272,10.00
203.662500,-60.200000,Cr,275,11.00
207.100000,-66.066667,Cr,277,15.00
220.275000,69.566667,Cr,285,1400.00
237.533333,-57.616667,Cr,292,14.00
246.533333,-26.250000,Cr,302,500.00
248.833333,-51.000000,Cr,307,5.00
253.875000,-40.833333,Cr,316,100.00
262.879167,-34.016667,Cr,333,7.00
264.587500,-37.716667,Cr,338,20.00
266.145833,-33.866667,Cr,345,5.00
266.575000,-29.333333,Cr,347,10.00
267.025000,1.300000,Cr,350,39.00
267.250000,-28.735833,Cr,351,8.40
270.275000,2.900000,Cr,359,240.00
272.462500,-23.828333,Cr,367,40.00
283.066667,-20.203333,Cr,394,22.00
294.587500,0.345278,Cr,401,1.00
295.616667,23.087778,Cr,404,0.80
302.895833,26.534444,Cr,416,8.00
304.529167,40.731944,Cr,419,4.00
305.791667,41.693056,Cr,421,3.60
315.154167,68.159722,Cr,427,4.00
315.800000,44.583333,Cr,428,10.00
26.437500,71.810000,Cr,463,57.00
78.162500,73.974722,Cr,464,120.00
106.716667,-10.538333,Cr,465,9.00
106.733333,-10.715000,Cr,466,4.00
114.825000,-10.550000,Cr,467,2.00
271.645833,-27.460000,Cr,468,0.90
274.141667,-18.311667,Cr,469,3.00
331.775000,72.000000,Cr,471,130.00
