# Lynds' Catalogue of Bright Nebulae (Lynds 1965)
# Source: VizieR catalog VII/9 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/9
# Coordinates are ICRS (J2000). size is the largest angular dimension (Diam1) in arcminutes.
ra,dec,catalog,catalog_id,size
266.293750,-28.853333,LBN,1,4.00
267.045833,-29.183056,LBN,2,14.00
266.793333,-28.767500,LBN,3,2.00
267.794583,-28.929444,LBN,4,3.00
250.223333,-17.595833,LBN,5,25.00
249.217917,-16.600556,LBN,6,90.00
248.463333,-15.770556,LBN,7,50.00
237.665000,-5.983611,LBN,8,45.00
266.527500,-26.185556,LBN,9,5.00
238.410000,-4.697222,LBN,10,60.00
237.657083,-4.050278,LBN,11,15.00
247.694167,-11.773889,LBN,12,65.00
243.175417,-8.043889,LBN,13,35.00
268.769583,-24.841111,LBN,14,60.00
237.905833,-3.749167,LBN,15,20.00
248.192083,-11.271667,LBN,16,150.00
242.671250,-7.095833,LBN,17,30.00
237.652500,-2.900278,LBN,18,28.00
237.652083,-2.816944,LBN,19,140.00
246.683750,-9.611667,LBN,20,50.00
247.183750,-9.609444,LBN,21,18.00
247.183333,-9.526111,LBN,22,40.00
237.148333,-1.952222,LBN,23,30.00
248.186250,-10.105000,LBN,24,480.00
271.016667,-24.330278,LBN,25,45.00
271.266667,-24.329167,LBN,26,90.00
270.508750,-22.999444,LBN,27,20.00
272.514583,-23.989722,LBN,28,15.00
272.514583,-23.989722,LBN,29,45.00
246.173750,-7.447222,LBN,30,140.00
272.011667,-23.441944,LBN,31,3.00
248.179583,-8.605000,LBN,32,65.00
272.763333,-23.738333,LBN,33,20.00
272.261250,-23.440833,LBN,34,3.00
248.931667,-9.018333,LBN,35,20.00
240.147500,-1.640000,LBN,36,50.00
240.147500,-1.640000,LBN,37,30.00
272.003333,-21.992222,LBN,38,60.00
249.176250,-7.850556,LBN,39,70.00
272.250417,-21.490833,LBN,40,10.00
300.787500,-31.359167,LBN,41,210.00
273.993750,-20.315833,LBN,42,10.00
274.240417,-19.731111,LBN,43,4.00
241.638750,0.366389,LBN,44,70.00
241.638750,0.366389,LBN,45,40.00
274.240000,-19.647778,LBN,46,4.00
274.239167,-19.481111,LBN,47,15.00
272.232083,-18.157500,LBN,48,3.00
272.979583,-17.737222,LBN,49,15.00
271.725833,-16.993333,LBN,50,18.00
273.980833,-17.982500,LBN,51,210.00
274.980833,-17.977500,LBN,52,30.00
272.724167,-16.655278,LBN,53,30.00
300.767917,-27.859167,LBN,54,260.00
273.973750,-16.649167,LBN,55,60.00
273.973750,-16.649167,LBN,56,3.00
274.470417,-15.980000,LBN,57,120.00
271.460833,-14.161389,LBN,58,30.00
274.217917,-15.481389,LBN,59,5.00
275.220417,-15.976389,LBN,60,40.00
273.212500,-14.486111,LBN,61,20.00
275.214167,-14.809722,LBN,62,20.00
277.720000,-15.964444,LBN,63,80.00
275.713333,-14.640556,LBN,64,15.00
280.223750,-16.785556,LBN,65,40.00
276.464167,-14.803611,LBN,66,10.00
274.709167,-13.812222,LBN,67,120.00
274.959583,-13.894444,LBN,68,35.00
278.467083,-15.460833,LBN,69,30.00
274.954583,-12.977778,LBN,70,180.00
274.702083,-12.478889,LBN,71,80.00
274.449583,-11.980000,LBN,72,60.00
278.198333,-11.761944,LBN,73,20.00
278.198333,-11.761944,LBN,74,10.00
277.943333,-10.796389,LBN,75,20.00
277.943333,-10.796389,LBN,76,35.00
277.687500,-9.631111,LBN,77,10.00
277.682917,-8.631111,LBN,78,2.00
277.932083,-8.463333,LBN,79,8.00
279.177500,-7.623889,LBN,80,30.00
278.674167,-6.876389,LBN,81,40.00
279.172917,-6.623889,LBN,82,15.00
296.457500,-14.877500,LBN,83,10.00
278.414583,-4.960833,LBN,84,2.00
276.909167,-3.801389,LBN,85,3.00
299.453333,-14.364444,LBN,86,70.00
296.447500,-12.710833,LBN,87,10.00
259.611250,6.115000,LBN,88,12.00
296.445000,-12.210833,LBN,89,2.00
277.901250,-2.130000,LBN,90,20.00
281.658750,-3.728611,LBN,91,10.00
281.400000,-1.946389,LBN,92,10.00
276.136667,0.861667,LBN,93,8.00
282.402083,-2.325000,LBN,94,15.00
278.640833,0.040278,LBN,95,12.00
277.635833,1.035556,LBN,96,8.00
277.885000,1.220000,LBN,97,10.00
277.884167,1.370000,LBN,98,22.00
280.892083,-0.282222,LBN,99,15.00
296.423333,-7.377500,LBN,100,40.00
296.416667,-5.877500,LBN,101,180.00
273.606250,7.066111,LBN,102,8.00
285.380833,2.155833,LBN,103,2.00
286.129583,2.409167,LBN,104,35.00
242.541667,21.870556,LBN,105,60.00
243.291667,21.706944,LBN,106,30.00
283.612083,6.047500,LBN,107,4.00
300.648750,-1.859444,LBN,108,150.00
287.365000,5.581667,LBN,109,3.00
284.103750,7.816389,LBN,110,8.00
303.396667,-1.348056,LBN,111,20.00
311.661667,-5.649444,LBN,112,30.00
303.394583,-0.848056,LBN,113,70.00
307.900833,-2.496944,LBN,114,85.00
306.397083,-1.502778,LBN,115,35.00
302.892500,-0.350000,LBN,116,140.00
318.666250,-7.791944,LBN,117,360.00
313.658333,-4.808889,LBN,118,90.00
306.894167,-0.834167,LBN,119,140.00
308.396250,-1.328333,LBN,120,30.00
309.144167,-0.825556,LBN,121,70.00
306.387917,0.847222,LBN,122,42.00
306.886667,1.165833,LBN,123,20.00
308.142083,-0.212500,LBN,124,20.00
307.885833,1.336389,LBN,125,30.00
297.340833,11.460000,LBN,126,20.00
287.810833,16.833889,LBN,127,1.00
292.556250,18.255556,LBN,128,10.00
292.555833,18.272222,LBN,129,7.00
291.792917,20.785556,LBN,130,8.00
297.058333,18.375556,LBN,131,15.00
306.334167,14.163889,LBN,132,120.00
291.282083,22.766389,LBN,133,5.00
291.532083,22.767778,LBN,134,8.00
295.782917,23.286667,LBN,135,40.00
296.526250,24.706389,LBN,136,17.00
296.523750,25.173056,LBN,137,2.00
296.523750,25.189722,LBN,138,2.00
296.522917,25.339722,LBN,139,18.00
325.623750,6.228889,LBN,140,180.00
306.809583,19.999167,LBN,141,160.00
337.100000,20.589167,LBN,142,200.00
310.321250,18.179167,LBN,143,120.00
297.265833,26.809722,LBN,144,8.00
296.506667,28.289722,LBN,145,45.00
298.765000,27.282778,LBN,146,1.00
294.246667,29.613333,LBN,147,120.00
291.982917,31.436389,LBN,148,50.00
298.753750,29.299444,LBN,149,1.00
292.225417,32.687500,LBN,150,20.00
298.999583,30.133889,LBN,151,10.00
324.354167,12.725278,LBN,152,190.00
301.257917,29.176667,LBN,153,1.00
299.743750,31.303611,LBN,154,10.00
300.990417,32.208889,LBN,155,5.00
299.231667,33.218333,LBN,156,22.00
327.605833,13.234167,LBN,157,90.00
299.982917,33.204722,LBN,158,16.00
300.484167,33.140278,LBN,159,80.00
300.231667,33.472500,LBN,160,3.00
300.482083,33.473611,LBN,161,3.00
301.733333,33.645556,LBN,162,180.00
302.486250,33.315278,LBN,163,20.00
300.978750,34.142222,LBN,164,33.00
295.954583,36.620833,LBN,165,195.00
301.730000,34.145278,LBN,166,40.00
313.789583,26.691667,LBN,167,70.00
299.970000,35.304722,LBN,168,20.00
308.261250,30.671389,LBN,169,70.00
301.476667,34.644444,LBN,170,60.00
300.219583,35.472500,LBN,171,20.00
302.480417,34.315278,LBN,172,43.00
296.450833,37.289722,LBN,173,30.00
300.972917,35.142222,LBN,174,80.00
303.485417,33.819167,LBN,175,53.00
295.947917,37.620833,LBN,176,30.00
301.222917,35.176667,LBN,177,20.00
299.714167,36.136944,LBN,178,100.00
301.972917,35.396389,LBN,179,25.00
300.965417,36.308889,LBN,180,80.00
303.478333,34.985833,LBN,181,15.00
302.471250,35.815278,LBN,182,90.00
300.710417,36.974444,LBN,183,15.00
297.946667,38.296111,LBN,184,20.00
305.987083,34.329167,LBN,185,80.00
297.693333,38.711667,LBN,186,20.00
301.964167,36.813056,LBN,187,80.00
344.640833,0.101389,LBN,188,22.00
301.961667,37.146389,LBN,189,60.00
300.954583,37.975556,LBN,190,60.00
313.017500,31.188889,LBN,191,210.00
301.454167,38.144444,LBN,192,10.00
302.458333,37.815000,LBN,193,90.00
301.201667,38.476667,LBN,194,4.00
304.468750,36.823333,LBN,195,7.00
298.185000,39.963889,LBN,196,20.00
301.452083,38.477778,LBN,197,5.00
307.231667,35.667500,LBN,198,130.00
300.192500,39.472500,LBN,199,35.00
298.433333,40.298333,LBN,200,70.00
297.427500,40.793889,LBN,201,60.00
298.935417,40.133889,LBN,202,45.00
303.206667,38.318056,LBN,203,20.00
295.666667,41.786389,LBN,204,20.00
