# Lynds' Catalogue of Dark Nebulae (Lynds 1962)
# Source: VizieR catalog VII/7A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/7A
# Coordinates are ICRS (J2000). size is the diameter of the equivalent circle in arcminutes,
# derived from the catalogue Area (sq deg): 2*sqrt(Area/pi)*60.
ra,dec,catalog,catalog_id,size
247.214583,-16.109444,LDN,1,15.73
271.811250,-31.493056,LDN,2,75.39
270.807917,-30.998056,LDN,3,160.21
255.625417,-22.204167,LDN,4,4.28
259.064583,-24.421389,LDN,5,7.42
257.257083,-23.230000,LDN,6,15.44
262.151667,-26.290000,LDN,7,12.85
251.607500,-19.256111,LDN,8,19.62
257.507083,-23.228611,LDN,9,17.91
269.452083,-30.104722,LDN,10,3.71
257.030000,-22.897500,LDN,11,7.42
269.552083,-30.120833,LDN,12,3.71
256.000417,-22.169167,LDN,13,7.42
261.272083,-25.544167,LDN,14,9.57
256.100417,-22.168611,LDN,15,14.04
259.012500,-24.055000,LDN,16,23.45
257.004167,-22.731111,LDN,17,43.03
257.255000,-22.896667,LDN,18,6.77
262.275417,-26.039167,LDN,19,54.25
257.129167,-22.730556,LDN,20,14.68
262.274583,-25.939167,LDN,21,10.27
251.730833,-18.922222,LDN,22,35.82
259.312083,-23.970000,LDN,23,3.03
259.387500,-24.019722,LDN,24,4.28
263.126667,-26.185278,LDN,25,5.66
271.304583,-30.495556,LDN,26,12.48
246.959583,-15.110556,LDN,27,125.93
259.762917,-24.051389,LDN,28,100.87
271.705417,-30.626944,LDN,29,11.73
258.256667,-23.058333,LDN,30,31.39
252.482083,-19.085556,LDN,31,10.04
257.753750,-22.644167,LDN,32,22.56
250.347500,-17.428611,LDN,33,37.82
267.038750,-28.016389,LDN,34,338.51
269.120417,-29.072778,LDN,35,9.57
262.170417,-25.206389,LDN,36,4.28
260.012083,-23.883333,LDN,37,8.01
257.827917,-22.477222,LDN,38,6.06
257.903333,-22.493333,LDN,39,8.83
269.295417,-29.071944,LDN,40,11.53
271.301667,-29.995556,LDN,41,6.42
263.273750,-25.701111,LDN,42,81.52
248.613750,-15.836389,LDN,43,17.91
260.010833,-23.716667,LDN,44,12.85
262.771667,-25.370278,LDN,45,39.94
258.253750,-22.558611,LDN,46,39.94
252.479583,-18.585556,LDN,47,35.82
269.545000,-29.004167,LDN,48,167.76
270.548333,-29.499167,LDN,49,69.04
261.265000,-24.377500,LDN,50,9.08
258.152500,-22.342222,LDN,51,12.48
263.046667,-25.352222,LDN,52,5.24
260.787500,-23.913056,LDN,53,2.14
260.887500,-23.962500,LDN,54,3.03
260.762083,-23.879722,LDN,55,3.71
258.753750,-22.556111,LDN,56,46.02
260.661250,-23.730278,LDN,57,3.71
262.618750,-24.920833,LDN,58,4.28
260.159167,-23.382778,LDN,59,5.66
258.000417,-21.976389,LDN,60,12.67
262.843750,-24.920000,LDN,61,6.06
252.477083,-18.085556,LDN,62,89.31
252.477083,-18.085556,LDN,63,13.02
265.025833,-26.026111,LDN,64,67.53
258.250000,-21.891944,LDN,65,20.08
261.010417,-23.545278,LDN,66,6.42
258.500000,-21.890556,LDN,67,20.08
271.772500,-29.360000,LDN,68,5.24
262.013333,-24.040556,LDN,69,100.19
261.260417,-23.544167,LDN,70,6.77
258.499167,-21.723889,LDN,71,25.51
260.004167,-22.550000,LDN,72,37.57
262.764583,-24.203611,LDN,73,35.70
264.520833,-25.195000,LDN,74,13.20
272.046250,-29.158611,LDN,75,17.65
264.270000,-25.029722,LDN,76,49.33
259.752500,-22.251389,LDN,77,4.79
270.290000,-28.183889,LDN,78,2.14
258.747917,-21.472778,LDN,79,37.08
264.770417,-25.110556,LDN,80,4.79
261.257500,-23.010833,LDN,81,6.42
266.526250,-26.018889,LDN,82,101.78
248.581250,-14.270000,LDN,83,16.02
264.017083,-24.530833,LDN,84,38.77
261.507500,-23.009722,LDN,85,12.85
260.252500,-22.215556,LDN,86,16.99
259.650000,-21.801944,LDN,87,2.14
260.126667,-22.049444,LDN,88,11.12
259.624583,-21.701944,LDN,89,4.79
264.894167,-24.860000,LDN,90,12.85
260.879167,-22.462500,LDN,91,8.56
259.749583,-21.718056,LDN,92,4.79
270.687917,-27.831944,LDN,93,5.66
260.000000,-21.766944,LDN,94,13.71
259.999583,-21.683611,LDN,95,6.77
272.040833,-28.325278,LDN,96,11.73
271.840000,-28.176389,LDN,97,7.10
248.955000,-13.951667,LDN,98,7.10
259.747917,-21.384722,LDN,99,20.31
258.994583,-20.888333,LDN,100,18.54
260.450417,-21.798056,LDN,101,3.03
260.625833,-21.880556,LDN,102,12.67
260.375000,-21.715000,LDN,103,6.42
258.994167,-20.805000,LDN,104,9.33
249.105000,-13.950833,LDN,105,2.14
249.180000,-13.950556,LDN,106,2.14
261.503333,-22.293056,LDN,107,10.27
272.540833,-28.322778,LDN,108,3.71
264.764583,-24.110556,LDN,109,5.66
252.467083,-16.085556,LDN,110,40.28
258.791667,-20.355833,LDN,111,5.66
261.250833,-21.877500,LDN,112,12.48
264.638333,-23.861111,LDN,113,13.71
265.014167,-24.026111,LDN,114,47.68
253.470417,-16.664167,LDN,115,25.51
271.635833,-27.493889,LDN,116,3.03
261.250000,-21.710833,LDN,117,28.08
253.720833,-16.746389,LDN,118,15.73
270.782500,-26.998056,LDN,119,39.59
271.610000,-27.410833,LDN,120,6.77
249.955833,-14.013611,LDN,121,8.83
253.795833,-16.746111,LDN,122,9.57
271.910000,-27.409167,LDN,123,3.03
273.288750,-27.985833,LDN,124,140.72
264.008333,-23.030833,LDN,125,66.85
265.764583,-24.022500,LDN,126,40.68
272.034583,-27.308611,LDN,127,5.66
262.753333,-22.203611,LDN,128,60.93
253.743750,-16.329722,LDN,129,6.42
266.265417,-24.186667,LDN,130,36.83
261.247500,-21.210833,LDN,131,40.73
253.718333,-16.246389,LDN,132,15.44
269.776667,-26.003056,LDN,133,23.16
238.409583,-4.647222,LDN,134,31.76
270.528750,-26.332778,LDN,135,6.06
262.250417,-21.706111,LDN,136,26.31
252.713750,-15.417778,LDN,137,64.09
260.995417,-20.878611,LDN,138,68.71
259.188333,-19.720556,LDN,139,22.96
268.270417,-25.010278,LDN,140,68.04
252.712917,-15.251111,LDN,141,18.79
