# Melotte Catalogue of Star Clusters (Melotte 1915)
# Source: Simbad (positions) + VizieR B/ocl (sizes)
# Coordinates are ICRS (J2000). size is the angular diameter in arcminutes (0 = not in B/ocl).
ra,dec,catalog,catalog_id,size
6.022329,-72.081444,Mel,1,0.00
11.811667,85.245000,Mel,2,0.00
13.188500,-26.582611,Mel,3,0.00
15.809417,-70.848778,Mel,4,0.00
15.854167,-72.073333,Mel,5,0.00
29.223750,37.751667,Mel,12,0.00
34.737500,57.133889,Mel,13,0.00
35.565417,57.149722,Mel,14,0.00
38.217083,61.476667,Mel,15,20.00
48.684583,47.235000,Mel,18,0.00
51.710833,48.863333,Mel,20,0.00
56.658333,24.178056,Mel,22,0.00
67.614167,16.778611,Mel,25,0.00
77.703000,16.522000,Mel,29,0.00
79.541660,33.373610,Mel,31,0.00
90.653750,49.890556,Mel,39,0.00
91.861250,24.098056,Mel,40,0.00
93.818750,39.844167,Mel,42,0.00
93.436667,12.813333,Mel,43,0.00
93.881250,-18.674444,Mel,44,0.00
97.392917,-31.282778,Mel,46,0.00
100.832083,26.976389,Mel,50,0.00
102.082083,41.043056,Mel,51,0.00
106.035417,1.047222,Mel,59,0.00
109.246250,13.769167,Mel,63,0.00
109.440833,-15.639167,Mel,64,0.00
111.580000,-47.687222,Mel,66,0.00
114.602500,21.573889,Mel,69,0.00
114.297083,-13.862500,Mel,70,0.00
114.380417,-12.061667,Mel,71,0.00
114.620000,-10.699722,Mel,72,0.00
115.222917,-19.078611,Mel,73,0.00
118.047500,-38.546389,Mel,78,0.00
120.009583,-10.772778,Mel,80,0.00
120.201667,-19.057778,Mel,81,0.00
122.662917,-12.831111,Mel,83,0.00
129.307917,-29.951111,Mel,87,0.00
129.993333,19.609167,Mel,88,0.00
129.619167,-34.781111,Mel,89,0.00
130.666667,-47.199722,Mel,92,0.00
139.045000,-36.619167,Mel,96,0.00
158.959583,-58.234444,Mel,100,0.00
160.534583,-65.109722,Mel,101,0.00
160.732917,-64.422778,Mel,102,100.00
169.919167,-63.487778,Mel,105,0.00
171.332500,-43.243889,Mel,106,0.00
177.651667,-55.677778,Mel,108,0.00
181.645833,-61.246389,Mel,109,0.00
182.978750,25.276667,Mel,111,0.00
193.413333,-60.368611,Mel,114,0.00
206.607500,-62.916667,Mel,120,0.00
226.034583,-54.364444,Mel,130,0.00
226.372083,-55.607778,Mel,131,0.00
238.045833,-56.480833,Mel,137,0.00
238.955000,-57.439722,Mel,138,0.00
243.292500,-54.230000,Mel,140,0.00
246.952083,-49.161111,Mel,146,0.00
254.776667,-52.710833,Mel,156,0.00
nan,nan,Mel,166,0.00
261.202083,-49.923056,Mel,169,10.00
266.516667,5.615000,Mel,179,70.00
270.586667,3.431111,Mel,186,0.00
274.615833,-18.408056,Mel,197,0.00
279.662500,5.437222,Mel,210,39.00
282.765417,-6.271667,Mel,213,0.00
294.340833,46.378611,Mel,222,0.00
295.326250,40.188611,Mel,223,0.00
304.200000,-79.040000,Mel,227,0.00
300.990417,44.172778,Mel,229,0.00
307.919167,60.648333,Mel,231,0.00
308.618333,28.285278,Mel,232,0.00
332.628333,52.853611,Mel,239,7.00
347.111167,-15.611472,Mel,242,0.00
357.463750,68.035000,Mel,244,0.00
359.330833,56.724444,Mel,245,0.00
