# Principal Galaxy Catalogue — RC3 subset (de Vaucouleurs et al. 1991)
# Source: VizieR catalog VII/155 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/155
# Coordinates are ICRS (J2000). size is D25 (major axis at 25 mag/arcsec²) in arcminutes,
# converted from logD25 (log10 of D25 in 0.1 arcmin): size = 10^D25 * 0.1.
# magnitude is total B magnitude (BT).
ra,dec,catalog,catalog_id,size,magnitude
0.007500,47.274444,PGC,2,2.14,
0.036250,-6.374722,PGC,12,1.51,
0.088750,-2.610556,PGC,23,1.41,
0.093750,-80.791667,PGC,30,1.55,
0.100000,39.500000,PGC,35,0.91,
0.100000,17.216667,PGC,38,1.70,
0.100000,7.833333,PGC,39,0.81,
0.120833,-40.483333,PGC,43,1.91,
0.158333,20.059167,PGC,53,0.79,
0.159583,28.385000,PGC,54,1.15,14.84
0.150000,33.600000,PGC,55,0.91,
0.184583,28.401389,PGC,58,0.78,15.71
0.195000,28.402778,PGC,63,0.95,14.68
0.220417,-47.355000,PGC,65,1.17,
0.232917,-40.711667,PGC,69,1.05,
0.225000,20.333333,PGC,70,1.82,
0.241250,-33.611667,PGC,73,1.20,
0.262083,-43.330000,PGC,75,1.45,
0.262083,28.911667,PGC,76,1.51,
0.250000,4.450000,PGC,79,0.66,
0.250000,4.500000,PGC,80,0.98,
0.250000,6.216667,PGC,81,1.12,
0.306667,13.143889,PGC,89,0.87,15.87
0.309583,34.675833,PGC,91,1.05,
0.300000,80.650000,PGC,94,1.10,
0.300000,6.316667,PGC,96,1.05,
0.324167,-53.008333,PGC,99,1.35,
0.328333,-27.418333,PGC,100,1.20,
0.332500,13.111667,PGC,101,1.00,14.06
0.333333,34.525833,PGC,102,2.00,
0.359167,13.112778,PGC,108,0.78,15.26
0.360833,31.433889,PGC,109,1.17,14.20
0.350000,5.350000,PGC,110,1.00,
0.375833,31.442500,PGC,112,1.10,
0.375000,9.000000,PGC,116,0.91,
0.400417,33.562500,PGC,119,0.42,
0.407917,23.484722,PGC,120,2.29,
0.411250,26.922778,PGC,121,0.00,
0.400000,3.500000,PGC,124,1.29,
0.427083,23.494722,PGC,129,1.55,
0.469583,-36.850000,PGC,138,1.15,
0.482083,-27.626667,PGC,140,1.35,14.66
0.487083,-15.450278,PGC,143,11.48,11.03
0.475000,17.550000,PGC,146,1.00,
0.475000,40.316667,PGC,148,1.10,
0.515417,-33.468333,PGC,151,0.89,
0.500000,16.583333,PGC,156,1.05,
0.539583,2.940556,PGC,158,0.47,
0.543750,-43.975278,PGC,160,1.51,
0.580833,12.971944,PGC,163,1.23,
0.575000,27.200000,PGC,165,1.23,
0.611250,3.352222,PGC,168,0.41,
0.625000,44.916667,PGC,175,1.00,
0.645000,-3.710556,PGC,176,1.23,
0.668333,8.737500,PGC,179,0.66,
0.684583,-80.346667,PGC,181,2.29,
0.675000,18.883333,PGC,186,1.58,
0.692500,-52.768333,PGC,187,1.51,
0.712917,31.487500,PGC,190,0.79,
0.727083,-34.235000,PGC,195,1.10,
0.750000,4.200000,PGC,201,1.02,
0.772083,-42.178333,PGC,204,1.05,
0.774167,-1.913056,PGC,205,1.78,
0.783750,31.039444,PGC,206,0.00,
0.789583,21.959722,PGC,207,0.98,14.38
0.792083,25.178333,PGC,208,0.00,
0.792500,-54.749444,PGC,211,1.66,
0.798333,15.965556,PGC,212,1.45,
0.801667,-35.936667,PGC,213,1.17,
0.812917,16.145833,PGC,218,5.50,11.56
0.800000,-10.750000,PGC,219,0.87,14.04
0.834583,29.795000,PGC,223,0.79,
0.825000,8.600000,PGC,226,1.51,
0.840417,22.102778,PGC,227,0.93,
0.850417,-49.791667,PGC,233,1.55,
0.858333,-53.330000,PGC,235,1.02,
0.850000,27.350000,PGC,240,1.10,
0.884583,-10.745000,PGC,243,1.26,13.48
0.897083,23.200278,PGC,250,1.86,
0.925000,15.216667,PGC,255,2.45,14.80
0.925000,4.266667,PGC,258,1.26,
0.954583,7.479167,PGC,263,1.70,
0.995833,20.750000,PGC,279,3.55,
1.004167,-11.176944,PGC,281,0.22,
1.007083,-11.174167,PGC,282,1.15,
1.025000,7.350000,PGC,288,1.05,
1.058333,-52.916111,PGC,290,1.35,
1.061250,-50.646667,PGC,292,0.81,
1.050000,10.300000,PGC,295,1.38,
1.050000,10.766667,PGC,296,1.35,
1.050000,22.583333,PGC,298,0.93,
1.075000,6.150000,PGC,301,1.05,
1.103333,31.473611,PGC,303,1.55,14.18
1.100000,5.833333,PGC,305,1.74,
1.127500,5.198611,PGC,307,1.32,
1.136667,33.558889,PGC,309,1.20,
1.125000,-7.066667,PGC,312,2.40,
1.125000,28.300000,PGC,313,1.29,
1.165833,-45.628333,PGC,319,0.87,
1.166250,-8.100556,PGC,320,1.41,
1.175833,-30.483333,PGC,322,1.23,13.95
1.186667,26.831944,PGC,323,0.00,
1.190833,-16.031944,PGC,325,1.48,
1.195417,-62.061667,PGC,328,1.15,
1.175000,-1.566667,PGC,329,0.66,
1.203333,-1.498056,PGC,330,0.44,
1.213750,-54.485000,PGC,331,1.17,
