# Catalogue of HII Regions (Sharpless 1959)
# Source: VizieR catalog VII/20 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/20
# Coordinates converted from B1950 to ICRS. size is the object diameter in arcminutes.
ra,dec,catalog,catalog_id,size
239.713370,-26.120495,Sh2,1,150.00
256.027587,-38.142483,Sh2,2,60.00
258.437626,-38.503101,Sh2,3,12.00
259.953247,-39.338749,Sh2,4,5.00
260.014443,-38.454766,Sh2,5,100.00
258.767126,-37.116539,Sh2,6,4.00
240.082357,-22.950618,Sh2,7,240.00
260.353516,-36.034688,Sh2,8,120.00
245.295393,-25.589424,Sh2,9,80.00
259.750046,-34.090312,Sh2,10,60.00
261.628956,-34.205689,Sh2,11,90.00
263.984068,-32.599595,Sh2,12,120.00
262.618994,-31.562674,Sh2,13,40.00
262.576992,-30.262996,Sh2,14,2.00
267.643308,-31.264095,Sh2,15,30.00
266.967539,-29.303859,Sh2,16,20.00
266.536692,-28.858007,Sh2,17,25.00
267.191967,-29.251679,Sh2,18,4.00
267.340312,-29.116899,Sh2,19,12.00
267.309611,-28.667169,Sh2,20,10.00
267.912699,-28.894664,Sh2,21,5.00
268.765752,-25.036153,Sh2,22,60.00
243.352606,-8.372255,Sh2,23,50.00
242.765885,-7.077256,Sh2,24,30.00
271.358488,-24.394256,Sh2,25,90.00
269.745965,-23.326532,Sh2,26,20.00
249.301730,-10.569718,Sh2,27,480.00
270.674030,-23.584195,Sh2,28,40.00
272.628821,-23.998557,Sh2,29,40.00
270.892489,-23.015373,Sh2,30,20.00
272.826456,-23.796625,Sh2,31,8.00
272.724738,-23.647605,Sh2,32,8.00
239.968260,-1.617424,Sh2,33,35.00
271.602089,-21.658402,Sh2,34,90.00
273.961242,-20.252080,Sh2,35,20.00
241.376429,0.394504,Sh2,36,45.00
274.429711,-19.664170,Sh2,37,20.00
272.189784,-18.269176,Sh2,38,3.00
274.193717,-18.649739,Sh2,39,3.00
273.009107,-17.744523,Sh2,40,15.00
273.964279,-18.235277,Sh2,41,90.00
272.574233,-16.815365,Sh2,42,3.00
274.105323,-17.400531,Sh2,43,15.00
274.123239,-16.733656,Sh2,44,60.00
275.192174,-16.173263,Sh2,45,60.00
271.546443,-14.158548,Sh2,46,25.00
274.436422,-15.613894,Sh2,47,5.00
275.600561,-14.585892,Sh2,48,10.00
274.669250,-13.961552,Sh2,49,90.00
276.376719,-14.711720,Sh2,50,35.00
280.194725,-16.558366,Sh2,51,35.00
296.945196,-23.087511,Sh2,52,2.00
276.311498,-13.228945,Sh2,53,15.00
274.471499,-11.730026,Sh2,54,140.00
278.046296,-11.762119,Sh2,55,5.00
277.775886,-9.714628,Sh2,56,7.00
277.640029,-8.615885,Sh2,57,2.00
277.863498,-8.463723,Sh2,58,8.00
279.254822,-7.600288,Sh2,59,20.00
279.171053,-6.701050,Sh2,60,20.00
278.229693,-5.010030,Sh2,61,2.00
276.893553,-3.856200,Sh2,62,4.00
299.429950,-14.115700,Sh2,63,55.00
277.899739,-1.913065,Sh2,64,25.00
281.742210,-3.742958,Sh2,65,7.00
281.375515,-1.996378,Sh2,66,8.00
282.353900,-2.353734,Sh2,67,10.00
276.297947,0.854931,Sh2,68,8.00
281.109130,-0.282178,Sh2,69,20.00
273.662206,7.063022,Sh2,70,5.00
285.511329,2.159658,Sh2,71,3.00
285.959943,2.313874,Sh2,72,25.00
242.781826,21.874023,Sh2,73,75.00
287.204291,5.608976,Sh2,74,3.00
284.814180,7.119989,Sh2,75,10.00
284.107284,7.813351,Sh2,76,7.00
