# van den Bergh's Catalogue of Reflection Nebulae (van den Bergh 1966)
# Source: VizieR catalog VII/21 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/21
# Coordinates are ICRS (J2000). size = 2 * max(BRadMax, RRadMax) in arcminutes.
# magnitude is the V magnitude of the illuminating star.
ra,dec,catalog,catalog_id,size,magnitude
2.693190,58.769520,VdB,1,8.60,8.60
3.350830,65.613460,VdB,2,3.40,9.50
8.655700,69.434610,VdB,3,1.80,8.50
10.826070,61.911150,VdB,4,8.40,9.50
14.177210,60.716740,VdB,5,120.00,2.57
25.930680,61.834320,VdB,6,1.80,9.20
42.231290,69.634290,VdB,7,6.20,6.50
42.886540,67.815040,VdB,8,4.60,8.50
42.994800,68.888500,VdB,9,7.40,5.96
48.949880,57.140620,VdB,10,16.00,6.00
51.059110,61.538570,VdB,11,6.20,8.37
51.349660,31.731100,VdB,12,4.60,7.00
51.458750,30.931710,VdB,13,4.60,8.80
52.267220,59.940330,VdB,14,46.00,4.23
52.478100,58.878750,VdB,15,54.00,4.58
52.087080,29.799250,VdB,16,9.00,9.10
52.332410,31.415850,VdB,17,8.00,9.50
53.799470,38.015170,VdB,18,14.20,7.58
56.142450,32.162820,VdB,19,5.60,8.53
56.218900,24.113340,VdB,20,22.00,3.71
56.456690,24.367750,VdB,21,52.00,3.88
56.581560,23.948360,VdB,22,52.00,4.18
56.871150,24.105140,VdB,23,34.00,2.87
57.401400,38.982100,VdB,24,9.00,8.80
63.104180,23.574570,VdB,25,8.60,7.50
63.394040,10.212480,VdB,26,11.40,7.20
65.489210,28.443210,VdB,27,8.60,9.10
65.497630,19.535120,VdB,28,12.40,9.40
72.094760,29.773000,VdB,29,13.60,6.50
73.512540,66.342680,VdB,30,46.00,4.30
73.941020,30.551190,VdB,31,9.00,6.80
75.590480,44.269570,VdB,32,1.80,9.12
76.712730,-3.333320,VdB,33,1.80,10.12
79.075620,34.312320,VdB,34,20.00,5.80
78.747690,13.014120,VdB,35,4.00,8.70
78.634470,-8.201640,VdB,36,820.00,0.15
